Used_ID,Iso,CON1,CON2,CON3,CON4,CON5,HF1,HF2,HF3,HF4,HF5
Deoxythymidine,Deoxythymidine,2421707,2527050,2055836,1812102,1780548,1269735,935047,1023946,1635513,1755189
Deoxyuridine,Deoxyuridine,3458488,3289740,2933692,2439940,3139111,1811651,1505944,1148136,2184167,3243483
dGDP,dGDP,963154,869823,248581,302520,274401,435819,640305,372552,454360,186583
Dihydroxyacetone-phosphate,Dihydroxyacetone-phosphate,37152,20763,25468,30430,69343,23850,32936,27976,91644,70879
Dimethylglycine,Dimethylglycine,8400045,14035465,7289446,6149700,7629054,5517320,5016996,7939476,11560883,6806408
dTMP,dTMP,261768,287335,83885,172619,209850,131548,78360,99349,120590,210990
Fructose-1_6-bisphosphate,Fructose-1_6-bisphosphate,203621,76787,182716,201785,0,441252,191227,73691,683621,534990
g-GluCys,g-GluCys,659802,638820,573871,497097,324145,765167,752460,678804,768558,941303
GABA,GABA,2593915,1923538,3010184,1263784,1265966,1461754,1445493,1349939,1550687,1179475
GDP,GDP,738947,882720,494757,322842,538355,875782,1176808,438530,589828,624458
Gluconic acid,Gluconic acid,188696576,159729696,164891376,151755280,153236832,145138288,150693648,137181568,186576128,158437584
Glucosamine,Glucosamine,3662973,2204904,3809962,2682242,1946992,2222590,2482223,2539897,3008475,1953429
Glucose,Glucose,1432579456,851527232,1382797568,1198509568,1019467840,1116296832,1140986368,1086748800,1260819456,1065505280
Glucuronic acid,Glucuronic acid,53496300,41899492,41650860,51407836,59564564,62320572,54035280,58521308,63997044,54709156
Glutamate,Glutamate,152022736,191629120,190441600,141096688,134434496,193919568,224035728,167769584,168072096,198454784
Glutamate,Std,3240353,3302197,3094528,3532758,3537640,2919039,3511585,3516288,3706159,3354812
Glutamine,Glutamine,298958816,239425024,286870592,297504256,294877088,363873760,336069024,330359616,347196832,382028832
Glutathione,Glutathione,766688064,561309376,624721728,647330112,750160192,657094208,750931200,629403648,775472640,699461696
Glutathione disulfide,Glutathione disulfide,122526568,102576680,77118808,59435452,92719104,81723784,83971368,54737428,67051552,69100192
Glycerol,Glycerol,660006,455862,619676,563362,419573,513356,467387,441511,497753,414128
Glycerol-3-phosphate,Glycerol-3-phosphate,183650816,140336128,159053584,161027344,136322576,190208512,196871120,157108400,182123024,195847856
Glycine,Glycine,19865566,18924440,18147514,17896464,17948656,17228578,16401387,14762837,19547562,17298698
Glycine,Std,250213,299345,247902,194311,196927,266920,246414,287577,210047,274792
GMP,GMP,44220308,35153508,25227978,24183818,28697494,30144246,32119008,25697326,35358708,24988066
Guanosine,Guanosine,8913133,7598444,6889004,6029194,8246128,4224224,4759158,5326058,5991102,3104585
Hexose phosphate,Hexose phosphate,47388612,37538932,49085084,54477460,33932944,35070960,38533560,35739380,49459828,58424640
Histidine,Histidine,128016552,97781336,112031576,99233608,87883512,133390312,86848776,75821112,110610496,129296488
Histidine,Std,6478556,5366218,5948188,5956394,5471508,6490644,5544030,4816518,5991806,6101658
HMG-CoA,HMG-CoA,22671,10519,16021,11340,31683,31609,38955,16959,27632,30396
Homocysteine,Homocysteine,133419,104597,179273,118553,186472,112016,128770,132570,101039,110660
Hydroxyproline,Hydroxyproline,9779873,9939383,9169401,6940834,9644009,4472004,4100221,3541877,5504010,6363366
Hypoxanthine,Hypoxanthine,43249076,34671964,43951868,34449292,24937110,29876886,31362160,33265824,46671060,24736576
Inosine,Inosine,25604952,17744406,24674654,20042986,15878088,16627544,17924774,21894268,25498330,10798505
Inosine monophosphate,Inosine monophosphate,49919008,40039600,31108096,34430756,27161696,48845724,67255472,45834636,58851756,38605820
Inositol,Inositol,87766528,75210120,85706632,73508792,71031400,70921624,51328132,58648188,64536164,54632464
